Ilulissat monthly temperatures infilled with regressed values based on 
observations from 4 sites (Aasiaat, Qeqertarsuaq, Upernavik and Uummannaq) 
situated along the west coast of Greenland.


Vinther, B. M., K. K. Andersen, P. D. Jones, K. R. Briffa and J. Cappelen,
Extending Greenland Temperature Records into the late 18th Century,
doi:10.1029/2005JD006810, JGR, 111, D11105.


All temperatures are given in degrees Celsius times 10.


Year    Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
1882    -253    -230    -195    -86     7       55      65      57      22      -56     -108    -126
1883    -155    -195    -71     -67     15      46      79      54      39      -57     -87     -193
1884    -263    -238    -220    -88     -20     43      72      49      -10     -61     -117    -167
1885    -122    -160    -128    -70     16      27      79      69      9       -47     -114    -121
1886    -202    -220    -200    -159    4       42      74      57      30      -40     -92     -131
1887    -189    -246    -224    -163    -37     36      77      61      16      -24     -70     -128
1888    -132    -158    -157    -72     -7      63      82      82      16      -34     -98     -158
1889    -231    -135    -148    -56     5       39      83      52      28      -30     -111    -148
1890    -197    -217    -197    -94     10      47      75      61      5       -49     -105    -106
1891    -167    -283    -175    -128    10      72      62      74      8       -70     -94     -142
1892    -163    -142    -158    -91     5       78      80      66      11      4       -87     -98
1893    -128    -179    -139    -101    -21     54      87      77      41      -40     -62     -155
1894    -207    -276    -246    -150    1       20      80      71      15      -32     -118    -158
1895    -121    -82     -117    -96     -17     34      76      63      1       -20     -100    -122
1896    -216    -273    -203    -165    -41     45      85      78      33      -13     -104    -139
1897    -187    -258    -140    -134    -25     52      82      58      22      -23     -106    -123
1898    -211    -293    -167    -128    -6      58      60      54      24      -19     -124    -222
1899    -177    -231    -139    -63     13      57      73      70      33      -59     -117    -138
1900    -187    -80     -74     -85     23      76      92      77      14      -27     -102    -167
1901    -205    -51     -134    -100    -15     32      73      64      30      -50     -49     -103
1902    -169    -146    -185    -71     11      60      88      86      33      -14     -91     -144
1903    -152    -193    -206    -80     -2      48      86      55      39      -7      -83     -57
1904    -180    -180    -165    -124    16      60      81      96      23      -79     -88     -82
1905    -203    -176    -88     -4      17      46      87      73      5       -10     -63     -150
1906    -218    -231    -181    -113    16      49      86      103     38      -40     -119    -127
1907    -199    -202    -210    -130    -11     51      86      75      25      -4      -109    -98
1908    -162    -203    -101    -31     4       53      109     66      53      -54     -81     -127
1909    -246    -146    -81     -61     27      70      82      64      39      -72     -74     -181
1910    -255    -252    -194    -80     5       34      79      93      20      -31     -117    -127
1911    -184    -267    -146    -53     7       49      85      76      25      -9      -73     -138
1912    -106    -100    -131    -47     14      75      75      82      37      -55     -77     -110
1913    -130    -113    -179    -107    4       64      71      58      36      -17     -127    -146
1914    -190    -249    -194    -115    -31     18      74      63      11      -22     -78     -167
1915    -201    -219    -180    -109    25      56      70      75      63      -17     -48     -84
1916    -142    -146    -21     -104    41      43      68      95      48      -38     -62     -99
1917    -157    -157    -79     -68     -15     31      83      82      30      -76     -114    -156
1918    -247    -202    -160    -129    5       17      68      71      26      -54     -133    -144
1919    -180    -214    -124    -158    25      23      63      59      21      -3      -51     -102
1920    -199    -196    -171    -49     -10     62      76      59      19      -52     -125    -123
1921    -170    -204    -165    -111    8       49      81      81      22      -48     -51     -128
1922    -172    -275    -138    -65     -15     30      75      59      14      -8      -83     -86
1923    -201    -139    -119    -23     11      58      80      74      18      -38     -61     -91
1924    -97     -158    -101    -40     23      73      72      61      14      -55     -79     -164
1925    -216    -182    -104    -89     1       47      56      61      39      -33     -48     -65
1926    -110    -140    -139    -68     17      75      96      69      28      -21     -75     -106
1927    -106    -148    -175    -78     18      59      71      79      53      -34     -78     -64
1928    -111    -148    -44     -42     27      73      86      94      57      -4      -63     -86
1929    -28     -61     -46     -39     24      49      88      79      18      -54     -78     -112
1930    -144    -118    -63     -32     19      46      86      77      56      -38     -87     -106
1931    -86     -137    -163    -83     19      84      107     92      59      -31     -113    -106
1932    -180    -34     -32     -47     44      64      84      57      33      -28     -97     -119
1933    -182    -93     -112    -87     50      47      94      81      19      -27     -56     -63
1934    -126    -162    -139    -50     -11     53      90      71      32      -36     -58     -62
1935    -127    -191    -86     -35     14      74      88      75      53      -30     -68     -83
1936    -82     -78     -104    -28     22      56      102     70      34      -38     -61     -137
1937    -174    -158    -57     -104    4       48      91      74      38      -47     -37     -106
1938    -174    -160    -156    -87     9       43      80      81      31      -46     -111    -137
1939    -93     -186    -132    -23     27      57      93      59      50      -3      -84     -97
1940    -125    -91     -106    -41     8       50      99      56      23      -32     -81     -73
1941    -83     -83     -72     -27     16      55      77      97      38      15      -69     -103
1942    -117    -152    -103    -77     38      68      81      66      30      -45     -60     -79
1943    -68     -161    -144    -88     -4      58      83      72      28      -62     -87     -90
1944    -172    -124    -137    -37     -13     60      76      73      27      -44     -110    -120
1945    -88     -189    -103    -97     -7      62      73      80      23      -9      -78     -74
1946    -138    -115    -66     -91     37      71      72      72      37      -11     -49     -68
1947    -70     -47     -58     -52     24      73      81      69      20      -30     -55     -83
1948    -110    -116    -154    -68     -4      84      100     71      31      -35     -82     -157
1949    -176    -221    -126    -130    7       76      97      68      22      -30     -84     -111
1950    -178    -199    -127    -109    9       67      92      73      32      -38     -79     -64
1951    -133    -198    -192    -97     32      73      77      69      47      -46     -56     -140
1952    -146    -155    -165    -78     16      61      80      80      45      -23     -50     -65
1953    -119    -156    -163    -31     -6      40      83      70      22      -52     -106    -173
1954    -99     -164    -96     -37     33      47      62      69      28      -32     -78     -147
1955    -191    -117    -96     -125    6       60      60      51      21      -7      -76     -111
1956    -174    -129    -123    -59     0       41      75      73      10      -41     -106    -151
1957    -175    -155    -128    -75     26      77      99      81      48      -44     -74     -132
1958    -147    -113    -115    -86     28      62      90      57      22      -35     -109    -73
1959    -80     -157    -197    -80     33      62      82      60      24      -15     -67     -131
1960    -105    -107    -158    -103    17      66      117     104     33      34      -47     -100
1961    -119    -219    -207    -93     8       68      84      73      32      -33     -93     -86
1962    -104    -143    -49     -33     29      58      93      62      22      -36     -65     -96
1963    -59     -55     -119    -40     -7      36      70      78      18      -52     -90     -67
1964    -93     -81     -173    -83     -13     48      53      60      36      -39     -97     -94
1965    -128    -63     -116    -77     46      46      90      75      30      -25     -48     -122
1966    -169    -129    -161    -79     -7      47      70      80      43      11      -69     -129
1967    -79     -146    -160    -101    26      38      79      72      25      -58     -98     -102
1968    -155    -137    -182    -53     26      48      88      66      31      -26     -69     -93
1969    -91     -93     -136    -80     22      51      71      69      16      -55     -56     -127
1970    -179    -121    -148    -85     -26     38      59      46      46      -32     -72     -108
1971    -146    -194    -174    -99     -9      54      84      52      28      -61     -86     -217
1972    -174    -163    -183    -114    23      20      42      48      45      -25     -102    -135
1973    -103    -185    -169    -52     -17     39      67      69      33      -22     -82     -99
1974    -143    -138    -102    -58     12      41      75      66      23      -15     -90     -203
1975    -174    -146    -165    -92     4       51      80      69      12      -25     -96     -128
1976    -158    -168    -139    -92     1       54      75      43      50      -31     -65     -63
1977    -95     -99     -98     -46     15      36      93      72      16      -41     -50     -111
1978    -141    -129    -149    -70     -4      26      94      75      33      -29     -124    -15
1979    -80     -123    -121    -47     1       39      74      71      19      -26     -111    -120
1980    -58     -110    -91     -81     16      43      76      70      32      -31     -66     -108
1981    -134    -166    -115    -70     10      61      79      56      32      -31     -90     -84
1982    -101    -191    -160    -86     -14     46      79      57      7       -42     -98     -145
1983    -321    -229    -241    -101    -11     45      70      47      23      -57     -95     -117
1984    -243    -321    -194    -140    -48     33      89      59      20      -48     -77     -129
1985    -60     -144    -132    -56     41      68      91      70      38      -48     -61     -70
1986    -77     -35     -143    -72     -3      39      72      78      36      -65     -131    -126
1987    -110    -198    -152    -120    2       69      76      95      28      -45     -63     -132
1988    -153    -96     -131    -81     7       44      77      74      31      -17     -50     -105
1989    -181    -239    -216    -95     -15     43      73      58      1       -57     -50     -105
1990    -169    -192    -182    -114    0       82      87      65      14      -48     -54     -124
1991    -194    -122    -123    -124    -28     50      88      60      31      -23     -105    -96
1992    -130    -267    -227    -113    -48     18      63      50      18      -1      -101    -133
1993    -210    -204    -265    -116    -21     54      82      56      44      -2      -107    -148
1994    -181    -166    -234    -89     14      38      72      65      8       -54     -77     -142
1995    -236    -224    -234    -58     24      73      89      63      49      -46     -19     -97
1996    -117    -131    -148    -78     9       40      65      50      15      -46     -77     -65
1997    -89     -191    -165    -104    7       83      56      52      16      -22     -60     -68
1998    -86     -197    -159    -42     5       66      87      67      30      -34     -63     -52
1999    -135    -188    -162    -59     -44     37      88      69      11      -42     -90     -87
2000    -120    -153    -149    -29     -10     73      79      69      43      -43     -51     -90
2001    -140    -164    -135    -62     -11     57      90      90      37      -26     -74     -89
2002    -86     -200    -178    -107    27      54      69      52      51      -25     -48     -66
2003    -67     -141    -88     -54     12      78      83      74      39      9       -72     -74
2004    -117    -116    -155    -75     25      55      69      70      26      -2      -50     -137
2005    -126    -81     -51     -58     4       78      88      77      20      -41     -38     -86
