Merged Greenland monthly temperatures based on infilled temperature series 
from Ilulissat, Nuuk and Qaqortoq situated along the south and west coasts 
of Greenland.


Vinther, B. M., K. K. Andersen, P. D. Jones, K. R. Briffa and J. Cappelen,
Extending Greenland Temperature Records into the late 18th Century,
doi:10.1029/2005JD006810, JGR, 111, D11105.


All temperatures are given in degrees Celsius times 10.


Year    Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
1859    -159    -144    -120    -28     45      42      62      55      33      -14     -50     -57
1860    -99     -61     -99     -45     34      62      74      59      28      -37     -28     -60
1861    -118    -118    -153    -94     7       39      57      61      22      -32     -66     -76
1862    -135    -67     -122    -114    3       35      65      66      22      -39     -74     -127
1863    -177    -214    -152    -104    8       31      46      40      19      -44     -72     -187
1864    -147    -112    -78     -79     20      46      42      62      38      7       -40     -56
1865    -129    -93     -59     -76     11      17      72      34      5       6       -65     -103
1866    -166    -142    -90     -47     20      39      62      49      12      -56     -80     -127
1867    -66     -146    -87     -44     18      43      76      64      23      -23     -27     -72
1868    -104    -201    -143    -37     9       24      46      56      30      -45     -60     -93
1869    -139    -154    -62     -67     30      48      63      53      26      10      -66     -103
1870    -107    -94     -121    -86     1       38      63      77      7       -24     2       -33
1871    -120    -76     -147    -30     23      66      71      65      34      -6      -9      -41
1872    -80     -47     -55     -11     22      52      78      82      54      -3      -53     -65
1873    -134    -78     -112    -31     34      40      82      60      24      -25     -41     -109
1874    -161    -98     -86     -37     38      51      72      67      27      -52     -44     -44
1875    -68     -83     -136    -19     -15     31      69      59      36      1       -18     -61
1876    -125    -103    -81     -43     11      46      63      64      48      -5      -42     -45
1877    -140    -111    -70     -25     31      61      68      80      60      -8      -73     -98
1878    -96     -96     -70     -29     11      51      76      69      19      -15     16      -4
1879    -65     -103    -105    -17     16      44      67      73      10      -15     -38     -110
1880    -131    -167    -103    -39     12      52      77      58      30      18      -56     -80
1881    -44     -89     -92     6       26      41      57      53      23      -12     -57     -112
1882    -176    -142    -156    -53     15      48      58      50      27      -33     -73     -81
1883    -130    -176    -57     -59     11      41      71      52      36      -35     -68     -152
1884    -172    -180    -152    -42     0       32      61      40      10      -44     -73     -124
1885    -91     -115    -75     -43     16      28      68      78      23      -21     -76     -79
1886    -132    -137    -100    -82     16      34      66      58      32      -21     -53     -94
1887    -147    -176    -144    -62     -3      42      71      65      28      -11     -32     -93
1888    -76     -96     -83     -30     23      64      75      82      25      4       -74     -115
1889    -138    -86     -85     -44     7       31      78      54      37      -11     -76     -106
1890    -146    -135    -111    -42     10      45      68      60      15      -21     -75     -81
1891    -114    -188    -95     -70     23      74      68      75      24      -40     -58     -97
1892    -112    -98     -86     -36     23      71      66      64      24      26      -60     -53
1893    -71     -110    -84     -58     1       52      74      76      51      -15     -31     -122
1894    -143    -186    -147    -91     18      24      73      65      29      -1      -83     -106
1895    -62     -42     -60     -40     4       45      74      62      25      12      -70     -97
1896    -134    -159    -121    -74     -18     45      66      69      28      7       -76     -125
1897    -113    -137    -78     -93     -6      63      65      58      39      0       -63     -90
1898    -151    -200    -95     -66     5       53      53      54      21      -18     -93     -141
1899    -120    -133    -84     -32     24      56      66      70      37      -28     -77     -104
1900    -133    -56     -33     -49     28      67      86      81      28      -11     -74     -111
1901    -138    3       -70     -54     12      39      64      58      32      -26     -29     -72
1902    -114    -78     -111    -38     23      62      74      77      43      -1      -66     -108
1903    -115    -125    -156    -50     0       44      74      62      47      11      -41     -47
1904    -130    -122    -120    -93     11      59      70      87      25      -48     -48     -55
1905    -146    -115    -69     3       25      39      74      68      23      16      -31     -109
1906    -141    -169    -98     -87     27      52      60      86      42      -20     -77     -101
1907    -136    -138    -156    -71     10      37      70      68      26      -1      -69     -94
1908    -124    -129    -89     -9      6       42      96      64      54      -32     -45     -93
1909    -158    -102    -26     -23     32      73      66      63      48      -30     -41     -121
1910    -142    -182    -120    -42     1       40      73      85      25      -8      -66     -74
1911    -130    -159    -91     -36     4       45      73      78      38      8       -45     -112
1912    -91     -70     -86     -23     18      69      69      75      42      -20     -41     -80
1913    -101    -73     -127    -60     10      66      63      53      37      -9      -91     -114
1914    -131    -145    -116    -56     -14     20      57      56      21      -9      -53     -143
1915    -130    -134    -71     -63     34      51      74      71      62      -5      -18     -45
1916    -99     -109    4       -51     41      55      66      83      56      -15     -41     -56
1917    -54     -68     -54     -32     17      51      90      79      30      -39     -75     -90
1918    -111    -145    -105    -84     9       20      69      63      36      -24     -89     -98
1919    -105    -110    -74     -73     24      27      66      63      31      14      -30     -72
1920    -142    -128    -126    -22     1       58      65      52      25      -20     -93     -83
1921    -121    -148    -126    -70     16      43      66      69      30      -18     -38     -105
1922    -121    -187    -75     -27     5       20      60      67      24      5       -43     -67
1923    -129    -67     -68     -21     31      62      80      70      32      -5      -33     -66
1924    -71     -84     -57     -17     36      76      72      71      32      -17     -45     -117
1925    -138    -142    -69     -53     16      44      59      61      47      6       -21     -28
1926    -66     -78     -78     -23     38      74      84      74      36      13      -49     -61
1927    -76     -98     -92     -34     38      66      72      80      59      3       -44     -42
1928    -88     -113    -35     -16     44      77      88      94      59      11      -30     -63
1929    -11     -48     -19     5       41      72      87      85      34      -17     -50     -92
1930    -106    -92     -34     -12     38      55      80      70      62      -9      -54     -80
1931    -54     -96     -110    -46     37      75      92      91      68      -5      -83     -82
1932    -129    -22     -2      -5      53      67      91      70      48      5       -55     -98
1933    -132    -62     -79     -35     46      53      90      82      38      -2      -28     -56
1934    -101    -101    -102    -13     3       60      90      75      39      -7      -32     -42
1935    -95     -123    -55     1       51      71      83      82      59      -8      -52     -51
1936    -32     -35     -59     -7      28      60      98      76      50      -3      -34     -105
1937    -133    -109    -19     -64     10      54      79      71      43      -13     -13     -75
1938    -125    -111    -109    -57     20      44      65      73      39      -29     -78     -105
1939    -60     -132    -93     -4      28      62      91      67      58      14      -44     -49
1940    -67     -38     -52     -12     22      48      82      58      30      2       -50     -49
1941    -41     -49     -27     -2      38      64      78      93      48      26      -41     -75
1942    -89     -49     -56     -48     41      69      85      77      40      -18     -21     -31
1943    -28     -105    -108    -61     7       54      74      68      37      -30     -45     -61
1944    -120    -80     -71     -18     4       57      73      77      33      -13     -75     -94
1945    -56     -138    -65     -66     18      63      69      71      32      14      -43     -32
1946    -102    -62     -35     -52     39      62      66      75      40      8       -13     -34
1947    -55     -14     -24     -26     33      77      80      68      37      -3      -28     -34
1948    -75     -86     -112    -39     11      81      96      80      41      -15     -55     -99
1949    -123    -158    -79     -87     15      69      89      71      33      -17     -49     -78
1950    -127    -121    -52     -41     27      71      85      74      39      -18     -47     -34
1951    -90     -130    -85     -46     34      74      75      71      56      -18     -28     -99
1952    -99     -87     -95     -37     33      59      73      79      56      4       -18     -33
1953    -88     -77     -100    7       32      48      77      74      38      -23     -68     -130
1954    -77     -117    -50     -32     40      53      66      75      44      -5      -59     -106
1955    -113    -57     -40     -52     25      62      50      60      35      11      -18     -56
1956    -124    -80     -56     -8      11      44      71      80      34      -14     -65     -123
1957    -130    -86     -62     -22     31      74      82      77      56      -19     -41     -81
1958    -97     -61     -62     -43     31      62      90      75      45      -7      -53     -41
1959    -38     -109    -112    -20     36      48      74      65      38      3       -39     -93
1960    -60     -75     -92     -45     23      59      93      105     46      45      -16     -67
1961    -63     -136    -124    -23     17      60      77      74      42      0       -50     -42
1962    -78     -93     -7      -24     36      56      80      70      39      0       -37     -60
1963    -45     -34     -65     -15     -1      46      66      74      23      -34     -56     -25
1964    -55     -36     -122    -43     12      46      59      76      54      -7      -45     -69
1965    -88     -30     -41     -32     49      55      88      78      41      -7      -15     -69
1966    -89     -48     -87     -24     11      43      77      83      54      31      -37     -87
1967    -34     -100    -129    -72     24      37      74      67      35      -26     -58     -66
1968    -87     -71     -112    -18     40      48      85      61      43      -2      -38     -50
1969    -51     -51     -65     -45     22      46      54      61      15      -22     -41     -84
1970    -81     -81     -57     -39     -7      34      52      54      41      -9      -48     -65
1971    -88     -137    -77     -49     1       53      77      56      36      -20     -47     -149
1972    -142    -107    -135    -59     7       21      45      52      44      -12     -68     -96
1973    -77     -130    -103    -20     -1      38      66      66      45      -3      -29     -62
1974    -103    -86     -66     -46     22      50      77      72      33      7       -50     -143
1975    -130    -84     -83     -35     23      47      70      74      27      5       -53     -83
1976    -104    -133    -118    -44     16      46      71      46      50      -15     -36     -36
1977    -37     -49     -43     -17     28      52      92      75      31      -16     -21     -69
1978    -105    -59     -103    -22     2       29      80      74      46      -11     -83     6
1979    -56     -57     -83     -10     22      41      69      73      37      -7      -73     -89
1980    -31     -64     -61     -55     24      44      71      71      42      6       -30     -65
1981    -74     -108    -74     -39     11      55      77      54      44      -14     -57     -49
1982    -62     -139    -113    -49     1       37      62      53      13      -17     -75     -113
1983    -227    -142    -154    -59     -1      39      58      43      26      -29     -52     -74
1984    -199    -220    -109    -98     -13     34      81      51      28      -25     -38     -108
1985    -25     -80     -66     -22     42      64      80      66      50      -13     -27     -28
1986    -60     -4      -111    -34     8       39      74      79      52      -33     -89     -96
1987    -74     -100    -98     -76     14      71      68      89      40      -13     -40     -67
1988    -96     -63     -58     -46     9       42      65      71      39      -1      -19     -76
1989    -135    -169    -165    -59     -5      36      59      53      14      -25     -25     -54
1990    -113    -136    -121    -89     4       54      76      64      30      -15     -11     -94
1991    -126    -98     -72     -65     1       61      92      65      44      -8      -68     -72
1992    -84     -188    -109    -68     -34     20      67      51      29      14      -70     -104
1993    -173    -147    -175    -69     -10     53      69      64      51      14      -78     -111
1994    -104    -107    -146    -41     24      35      68      65      24      -9      -40     -111
1995    -138    -130    -161    -21     22      59      75      62      48      -18     -3      -60
1996    -75     -76     -70     -15     32      44      62      59      40      -23     -49     -44
1997    -51     -145    -113    -43     23      75      64      60      36      9       -32     -41
1998    -52     -143    -96     -5      22      62      81      68      47      -11     -48     -43
1999    -103    -121    -84     -6      -8      37      81      75      31      -7      -52     -63
2000    -75     -111    -99     -4      2       67      78      72      50      -16     -33     -50
2001    -99     -98     -67     -20     13      62      73      86      55      5       -39     -40
2002    -67     -130    -108    -51     36      52      68      61      56      1       -17     -35
2003    -26     -104    -60     -35     27      71      89      88      60      35      -35     -39
2004    -52     -55     -93     -27     37      58      65      78      38      14      -20     -90
2005    -91     -37     -20     -13     21      70      88      76      37      -10     -15     -49
